Transaction_ID,Customer_ID,Transaction_DateTime,Transaction_Type,Merchant_Category,Transaction_Amount,Account_Balance_Before,Account_Balance_After,Card_Present,Device_Type,Transaction_Country,Distance_From_Home_KM,Customer_Age,Customer_Gender,Customer_Tenure_Months,Previous_Fraud_Flags,Is_Fraud
TXN000055,CUST01376,2024-01-12 18:37:25,POS Purchase,Fuel,1380.63,686.43,-694.2,Yes,POS Terminal,Pakistan,15.3,49,Male,45,0,0
TXN000056,CUST00669,2024-01-13 00:22:01,Wire Transfer,Fuel,20.43,2792.78,2772.35,N/A,Web Browser,United Kingdom,22.8,55,Female,38,0,0
TXN000057,CUST01404,2024-01-13 04:36:14,Wire Transfer,Restaurants,103.43,13808.09,13704.66,N/A,Web Browser,Germany,5.3,19,Female,179,0,0
TXN000058,CUST01047,2024-01-13 13:30:50,Bank Transfer,Groceries,76.12,17207.57,17131.45,N/A,Web Browser,Canada,5.9,68,Male,64,0,0
TXN000059,CUST00364,2024-01-13 16:13:55,Online Purchase,Electronics,81.41,5718.06,5636.65,Yes,Web Browser,United States,26.0,59,Female,89,0,0
TXN000060,CUST00124,2024-01-14 15:32:14,POS Purchase,Fuel,206.8,3310.15,3103.35,Yes,Mobile App,Pakistan,7.4,82,Female,92,0,0
TXN000061,CUST00160,2024-01-15 09:20:54,Wire Transfer,Groceries,247.21,2381.8,2134.59,N/A,Mobile App,United Kingdom,6.0,61,Male,180,0,0
TXN000062,CUST00131,2024-01-15 10:11:34,Online Purchase,Electronics,71.85,4251.35,4179.5,No,Mobile App,Germany,5.3,23,Male,144,0,0
TXN000063,CUST00326,2024-01-15 11:58:26,Bank Transfer,Healthcare,398.53,2353.46,1954.93,N/A,POS Terminal,United States,1.4,60,Female,28,0,0
TXN000064,CUST01270,2024-01-15 17:16:09,Online Purchase,Healthcare,133.89,1927.66,1793.77,Yes,Mobile App,Pakistan,17.0,62,Male,179,0,0
TXN000065,CUST01583,2024-01-15 17:44:22,Bill Payment,Fashion & Apparel,360.24,1943.69,1583.45,N/A,Mobile App,UAE,8.4,65,Female,18,0,0
TXN000066,CUST00240,2024-01-15 18:48:49,Bank Transfer,Travel,58.55,2908.04,2849.49,N/A,Mobile App,Germany,43.7,85,Female,178,0,0
TXN000067,CUST01009,2024-01-15 20:26:48,Online Purchase,Groceries,76.3,1698.98,1622.68,No,ATM Machine,United Kingdom,6.2,73,Female,49,0,0
TXN000068,CUST01698,2024-01-16 10:48:46,POS Purchase,Healthcare,36.36,8198.89,8162.53,Yes,ATM Machine,Canada,6.6,33,Male,136,0,0
TXN000069,CUST00596,2024-01-16 12:05:02,POS Purchase,Groceries,54.36,10323.43,10668.43,No,Web Browser,United Kingdom,30.7,35,Female,31,0,0
TXN000070,CUST01191,2024-01-16 16:07:46,Online Purchase,Entertainment,140.86,2663.61,2803.61,No,POS Terminal,India,4.4,76,Female,135,0,0
TXN000071,CUST00013,2024-01-17 11:38:49,Online Purchase,Healthcare,33.84,1323.07,1289.23,Yes,Web Browser,United Kingdom,12.3,67,Male,91,0,0
TXN000072,CUST01358,2024-01-17 15:31:14,Online Purchase,Healthcare,41.98,1236.7,1194.72,Yes,Mobile App,UAE,23.6,18,Male,146,0,0
TXN000073,CUST01290,2024-01-17 15:43:28,POS Purchase,Fashion & Apparel,158.39,20404.99,20246.6,No,Mobile App,Pakistan,3.6,84,Male,24,0,0
TXN000074,CUST00944,2024-01-17 19:08:48,Bill Payment,Online Services,145.16,3559.56,3414.4,N/A,ATM Machine,United States,2.6,24,Female,147,0,0
TXN000075,CUST00145,2024-01-18 11:21:58,ATM Withdrawal,Groceries,933.84,15291.28,14357.44,Yes,Web Browser,United States,2.1,32,Female,50,0,0
TXN000076,CUST01587,2024-01-18 13:27:23,ATM Withdrawal,Fuel,91.28,14450.78,14359.5,Yes,Web Browser,United States,10.1,68,Male,174,0,0
TXN000077,CUST01459,2024-01-18 22:38:01,Online Purchase,Electronics,366.0,5056.26,4690.26,No,Mobile App,United States,1.9,35,Male,105,0,0
TXN000078,CUST00908,2024-01-19 20:17:12,POS Purchase,Electronics,120.28,2020.96,1900.68,Yes,POS Terminal,Canada,8.9,83,Female,67,0,0
TXN000079,CUST01665,2024-01-19 20:46:05,POS Purchase,Restaurants,151.33,5489.84,5338.51,No,ATM Machine,United Kingdom,6.0,42,Male,121,0,0
TXN000080,CUST01048,2024-01-19 23:50:19,POS Purchase,Entertainment,110.21,7612.31,7502.1,No,Mobile App,United States,38.5,32,Female,109,0,0
TXN000081,CUST00328,2024-01-20 17:06:53,Bill Payment,Fuel,209.26,816.22,606.96,N/A,Mobile App,United Kingdom,7.5,19,Male,103,0,0
TXN000082,CUST00064,2024-01-20 20:42:38,Online Purchase,Entertainment,252.93,1185.71,932.78,Yes,ATM Machine,United Kingdom,12.1,80,Female,141,0,0
TXN000083,CUST00356,2024-01-20 21:29:08,POS Purchase,Fashion & Apparel,252.23,3249.83,2997.6,No,POS Terminal,United States,14.6,24,Female,155,0,0
TXN000084,CUST00958,2024-01-21 01:27:50,Bill Payment,Fashion & Apparel,229.62,3632.88,3403.26,N/A,POS Terminal,Canada,0.6,19,Male,145,0,0
TXN000085,CUST00500,2024-01-21 09:02:43,POS Purchase,Entertainment,101.76,3545.64,3443.88,Yes,Mobile App,United Kingdom,4.9,51,Male,70,0,0
TXN000086,CUST00023,2024-01-21 10:18:16,POS Purchase,Entertainment,259.83,3616.36,3750.36,No,POS Terminal,United Kingdom,15.9,85,Female,29,0,0
TXN000087,CUST00856,2024-01-21 12:41:34,Online Purchase,Jewelry & Luxury,37.04,2046.61,2009.57,No,POS Terminal,United States,2.0,71,Female,140,0,0
TXN000088,CUST01703,2024-01-21 14:40:26,POS Purchase,Electronics,43.75,7047.53,7003.78,No,Mobile App,United States,32.3,59,Male,114,0,0
TXN000089,CUST01612,2024-01-21 19:31:14,Bank Transfer,Groceries,320.53,3114.27,2793.74,N/A,POS Terminal,UAE,18.5,55,Female,90,0,0
TXN000090,CUST00845,2024-01-21 23:19:10,ATM Withdrawal,Healthcare,43.46,6246.15,6202.69,Yes,Mobile App,Pakistan,0.6,47,Female,44,0,0
TXN000091,CUST00893,2024-01-22 11:33:54,Bill Payment,Electronics,75.43,5104.98,5029.55,N/A,Mobile App,United Kingdom,5.9,74,Male,20,0,0
TXN000092,CUST01181,2024-01-22 14:45:45,POS Purchase,Fashion & Apparel,326.52,3142.96,2816.44,Yes,ATM Machine,United Kingdom,33.8,66,Male,1,0,0
TXN000093,CUST00839,2024-01-23 15:37:17,Online Purchase,Jewelry & Luxury,184.07,835.97,651.9,No,POS Terminal,Pakistan,3.7,79,Male,116,0,0
TXN000094,CUST01179,2024-01-23 18:35:16,POS Purchase,Utilities,271.55,2360.87,2798.87,No,Mobile App,United States,17.5,56,Male,129,0,0
TXN000095,CUST00187,2024-01-23 18:48:28,POS Purchase,Restaurants,72.62,5797.2,5724.58,Yes,Mobile App,UAE,8.9,80,Female,119,0,0
TXN000096,CUST01654,2024-01-24 07:21:16,Online Purchase,Electronics,31.37,3744.61,3713.24,Yes,Web Browser,India,1.2,49,Male,69,0,0
TXN000097,CUST01018,2024-01-24 09:05:05,Bill Payment,Fashion & Apparel,36.59,6489.86,6453.27,N/A,Web Browser,Canada,4.2,59,Male,66,0,0
TXN000098,CUST01000,2024-01-24 17:37:47,POS Purchase,Utilities,211.03,6493.83,6282.8,No,Web Browser,United States,17.3,78,Male,115,0,0
TXN000099,CUST00013,2024-01-25 02:07:40,Online Purchase,Groceries,1237.92,7977.04,6739.12,Yes,Web Browser,United States,21.0,59,Male,8,0,1
TXN000100,CUST00329,2024-01-25 09:25:20,Online Purchase,Utilities,98.76,8114.07,8015.31,No,Mobile App,United States,3.5,59,Male,161,0,0
TXN000101,CUST01282,2024-01-25 11:55:39,Online Purchase,Electronics,806.83,832.6,1291.6,Yes,Web Browser,UAE,1.9,34,Female,16,0,0
TXN000102,CUST00476,2024-01-25 13:10:57,Online Purchase,Electronics,127.32,1822.32,1695.0,Yes,Mobile App,India,20.8,31,Male,62,0,0
TXN000103,CUST00158,2024-01-25 16:53:38,Bank Transfer,Online Services,873.41,6234.68,5361.27,N/A,Web Browser,India,3.4,71,Male,76,0,0
TXN000104,CUST01013,2024-01-25 20:11:46,POS Purchase,Groceries,172.61,1208.71,1036.1,Yes,Mobile App,United States,10.6,41,Female,118,0,0
TXN000105,CUST01438,2024-01-25 20:35:13,POS Purchase,Utilities,26.88,9611.28,9584.4,No,Web Browser,United Kingdom,3.6,30,Male,115,0,0
TXN000106,CUST01414,2024-01-26 10:39:04,Bank Transfer,Electronics,1272.16,1846.61,574.45,N/A,Web Browser,Pakistan,23.4,61,Male,12,0,0
TXN000107,CUST00844,2024-01-26 11:50:29,Online Purchase,Healthcare,153.33,3125.94,2972.61,Yes,Web Browser,India,1.3,60,Male,102,0,0
TXN000108,CUST00767,2024-01-26 17:53:46,POS Purchase,Fuel,80.44,4715.24,5184.24,No,Mobile App,United Kingdom,2.8,28,Male,19,0,0
TXN000109,CUST00707,2024-01-26 19:42:53,ATM Withdrawal,Groceries,174.58,5402.94,5228.36,Yes,Mobile App,United States,14.6,41,Female,147,0,0
TXN000110,CUST01437,2024-01-27 10:59:39,Bill Payment,Home Improvement,15.98,2921.78,2905.8,N/A,Mobile App,United Kingdom,19.5,24,Female,92,0,0
TXN000111,CUST00853,2024-01-27 11:53:41,ATM Withdrawal,Online Services,38.74,6582.81,6544.07,Yes,Web Browser,United States,35.0,85,Female,63,0,0
TXN000112,CUST01367,2024-01-27 16:31:38,Online Purchase,Jewelry & Luxury,62.68,6749.01,6686.33,No,Mobile App,United Kingdom,7.8,64,Male,78,0,0
TXN000113,CUST00945,2024-01-28 11:55:15,Bank Transfer,Healthcare,14.35,4892.55,4878.2,N/A,POS Terminal,United States,42.1,50,Male,64,0,0
TXN000114,CUST00695,2024-01-28 16:13:32,Online Purchase,Restaurants,47.51,2233.75,2186.24,No,ATM Machine,UAE,3.7,41,Female,118,0,0
TXN000115,CUST01676,2024-01-28 17:53:16,POS Purchase,Entertainment,47.73,3395.15,3347.42,No,POS Terminal,Canada,55.7,48,Male,32,0,0
TXN000116,CUST00492,2024-01-28 18:32:04,Bank Transfer,Utilities,102.98,2534.31,2431.33,N/A,POS Terminal,Pakistan,20.7,85,Female,67,0,0
TXN000117,CUST00258,2024-01-28 21:07:39,Online Purchase,Groceries,98.14,1014.77,916.63,No,POS Terminal,United States,3.3,39,Male,27,0,0
TXN000118,CUST00809,2024-01-29 09:33:58,Bank Transfer,Groceries,326.41,648.21,321.8,N/A,Web Browser,United Kingdom,20.3,33,Female,65,0,0
TXN000119,CUST01688,2024-01-30 02:54:54,POS Purchase,Fuel,128.19,1933.56,1805.37,No,ATM Machine,Canada,7.4,30,Female,139,1,0
TXN000120,CUST00985,2024-01-30 06:35:11,POS Purchase,Entertainment,229.76,8473.2,8243.44,No,POS Terminal,UAE,13.3,74,Male,68,0,0
TXN000121,CUST00593,2024-01-30 10:47:36,ATM Withdrawal,Groceries,131.03,3516.84,3385.81,Yes,POS Terminal,United States,7.4,19,Female,129,0,0
TXN000122,CUST00605,2024-01-30 12:05:59,Bank Transfer,Fashion & Apparel,216.53,2267.13,2050.6,N/A,Mobile App,United States,4.3,35,Female,60,0,0
TXN000123,CUST01565,2024-01-30 14:23:52,Bill Payment,Groceries,101.63,3098.38,2996.75,N/A,Mobile App,United States,6.1,27,Female,9,0,0
TXN000124,CUST00574,2024-01-30 14:38:14,ATM Withdrawal,Fuel,45.16,9932.21,9887.05,Yes,POS Terminal,United States,0.6,72,Male,165,0,0
TXN000125,CUST00788,2024-01-30 18:23:36,Online Purchase,Travel,383.97,2565.11,2181.14,No,Web Browser,Pakistan,7.4,56,Female,25,0,0
TXN000126,CUST00040,2024-01-30 19:27:57,POS Purchase,Fuel,95.21,17037.07,17057.07,Yes,ATM Machine,United Kingdom,28.7,64,Male,6,0,0
TXN000127,CUST01500,2024-01-30 20:51:38,Wire Transfer,Fashion & Apparel,227.51,2330.44,2102.93,N/A,Mobile App,UAE,24.3,33,Male,178,0,0
TXN000128,CUST01552,2024-01-31 23:52:21,Online Purchase,Groceries,84.86,2290.41,2205.55,No,POS Terminal,Pakistan,0.3,82,Female,107,0,0
TXN000129,CUST00369,2024-02-01 06:52:18,POS Purchase,Groceries,54.29,7944.61,7890.32,Yes,POS Terminal,United States,1.6,50,Female,15,0,0
TXN000130,CUST00444,2024-02-01 08:15:21,POS Purchase,Fuel,75.12,3800.18,3725.06,No,Web Browser,Germany,41.4,79,Female,21,0,0
TXN000131,CUST01445,2024-02-01 10:41:09,Online Purchase,Fuel,111.31,5061.86,4950.55,No,Mobile App,Pakistan,1.6,59,Male,93,0,0
TXN000132,CUST01216,2024-02-01 12:36:06,Online Purchase,Restaurants,190.76,1780.59,1589.83,Yes,Web Browser,United Kingdom,47.8,61,Female,161,0,0
TXN000133,CUST00904,2024-02-01 13:19:47,POS Purchase,Utilities,164.39,3241.97,3568.97,No,POS Terminal,United Kingdom,4.1,69,Female,179,0,0
TXN000134,CUST01589,2024-02-01 14:46:01,Online Purchase,Fashion & Apparel,115.56,845.77,730.21,Yes,Mobile App,Canada,1.6,53,Male,24,0,0
TXN000135,CUST00765,2024-02-01 21:38:24,POS Purchase,Utilities,142.05,3501.63,3359.58,Yes,Web Browser,United Kingdom,9.9,72,Male,91,0,0
TXN000136,CUST00910,2024-02-02 10:51:40,Online Purchase,Entertainment,364.22,607.89,243.67,No,Mobile App,Germany,12.0,54,Female,117,0,0
TXN000137,CUST00157,2024-02-02 14:35:09,Bank Transfer,Groceries,80.5,575.01,494.51,N/A,Mobile App,United States,0.8,74,Male,27,0,0
TXN000138,CUST01163,2024-02-02 15:23:12,Wire Transfer,Fuel,322.58,3967.33,3644.75,N/A,Web Browser,United States,6.5,18,Male,135,0,0
TXN000139,CUST00761,2024-02-03 16:14:42,POS Purchase,Restaurants,117.05,17267.95,17150.9,No,Mobile App,United States,39.0,79,Female,180,0,0
TXN000140,CUST01466,2024-02-03 18:26:06,POS Purchase,Utilities,20.64,3622.61,3601.97,Yes,POS Terminal,Germany,21.3,66,Male,83,0,0
TXN000141,CUST01264,2024-02-03 19:26:18,Wire Transfer,Groceries,161.3,2616.25,2454.95,N/A,Mobile App,Canada,1.8,70,Female,93,0,0
TXN000142,CUST00111,2024-02-03 19:41:21,Online Purchase,Restaurants,96.05,973.78,877.73,Yes,Mobile App,UAE,6.8,21,Female,158,0,0
TXN000143,CUST00207,2024-02-03 19:47:13,Bill Payment,Travel,134.9,46181.68,46046.78,N/A,ATM Machine,India,25.8,24,Male,163,0,0
TXN000144,CUST00624,2024-02-03 20:50:15,Bill Payment,Electronics,452.18,1333.55,881.37,N/A,ATM Machine,United States,0.9,32,Male,145,0,0
TXN000145,CUST00610,2024-02-04 11:20:40,Bank Transfer,Utilities,145.29,7049.28,6903.99,N/A,Web Browser,Canada,29.7,24,Female,50,0,0
TXN000146,CUST01642,2024-02-04 12:57:01,ATM Withdrawal,Travel,144.31,12555.11,12410.8,Yes,Web Browser,India,1.0,41,Female,110,0,0
TXN000147,CUST00559,2024-02-04 12:59:22,ATM Withdrawal,Electronics,82.1,4098.71,4016.61,No,Web Browser,United States,8.1,23,Female,55,0,0
TXN000148,CUST00054,2024-02-04 17:42:16,POS Purchase,Restaurants,44.57,6729.45,6684.88,Yes,Web Browser,United States,48.6,76,Male,25,1,0
TXN000149,CUST00566,2024-02-05 09:36:27,Online Purchase,Jewelry & Luxury,183.84,2579.03,2395.19,Yes,Mobile App,United Kingdom,16.1,48,Female,84,0,0
TXN000150,CUST01432,2024-02-05 14:54:32,POS Purchase,Groceries,155.49,5564.44,5408.95,No,POS Terminal,Australia,8.9,63,Male,115,0,0
TXN000151,CUST01617,2024-02-05 16:08:13,POS Purchase,Fashion & Apparel,59.51,829.81,770.3,No,Web Browser,Germany,23.6,83,Male,163,0,0
TXN000152,CUST00137,2024-02-05 20:04:00,POS Purchase,Healthcare,499.42,1357.16,857.74,Yes,Mobile App,UAE,42.7,46,Male,139,0,0
TXN000153,CUST00368,2024-02-06 10:41:07,POS Purchase,Utilities,128.5,17839.37,17925.37,No,POS Terminal,Pakistan,14.2,24,Male,110,0,0
TXN000154,CUST01272,2024-02-06 10:46:02,Bill Payment,Home Improvement,93.6,2338.09,2244.49,N/A,Mobile App,Pakistan,2.8,48,Female,21,0,0
TXN000155,CUST00548,2024-02-06 11:09:38,Online Purchase,Utilities,135.2,2302.99,2167.79,No,Web Browser,UAE,0.5,66,Female,71,0,0
TXN000156,CUST01545,2024-02-06 11:44:13,Bill Payment,Groceries,19.63,5408.93,5389.3,N/A,ATM Machine,Germany,5.6,84,Female,47,0,0
TXN000157,CUST00533,2024-02-06 19:20:46,ATM Withdrawal,Electronics,69.28,2486.64,2417.36,Yes,Mobile App,United Kingdom,5.1,78,Female,120,0,0
TXN000158,CUST01489,2024-02-06 19:48:02,Bank Transfer,Electronics,148.78,1867.27,1718.49,N/A,Web Browser,United Kingdom,4.5,36,Male,102,0,0
TXN000159,CUST00057,2024-02-06 22:27:55,Online Purchase,Online Services,1131.38,1355.84,224.46,No,Web Browser,Pakistan,27.1,38,Female,36,2,1
TXN000160,CUST00350,2024-02-07 10:43:40,POS Purchase,Fuel,113.86,9022.2,8908.34,No,Mobile App,United Kingdom,36.2,21,Male,30,0,0
TXN000161,CUST01530,2024-02-07 14:08:02,POS Purchase,Healthcare,34.48,18926.4,18891.92,No,Mobile App,United States,3.1,18,Female,94,0,0
TXN000162,CUST01675,2024-02-07 14:53:38,Online Purchase,Restaurants,41.96,4902.9,4860.94,No,Mobile App,United Kingdom,5.8,63,Male,4,0,0
TXN000163,CUST01691,2024-02-08 00:51:17,POS Purchase,Fashion & Apparel,47.84,9381.59,9333.75,Yes,POS Terminal,Pakistan,3.2,29,Female,83,0,0
TXN000164,CUST00169,2024-02-08 10:24:22,Online Purchase,Electronics,84.61,1306.47,1221.86,No,POS Terminal,Pakistan,4.6,79,Female,101,0,0
TXN000165,CUST00042,2024-02-08 10:57:37,Online Purchase,Electronics,266.33,9658.97,9392.64,Yes,POS Terminal,Germany,2.4,72,Male,8,0,0
TXN000166,CUST00877,2024-02-08 13:36:05,Bank Transfer,Groceries,165.27,2784.43,2619.16,N/A,POS Terminal,Germany,4.3,56,Female,146,0,0
TXN000167,CUST00043,2024-02-08 17:05:40,Wire Transfer,Fuel,81.31,2298.47,2217.16,N/A,Mobile App,India,36.4,79,Male,6,0,0
TXN000168,CUST01454,2024-02-08 21:45:25,Bank Transfer,Jewelry & Luxury,236.5,1876.28,1639.78,N/A,Web Browser,India,1.6,20,Female,146,0,0
